FrameIndex,SystemTimeInSeconds,Frame difference,Frame Number,PinnedMemorySystemTime,PM Frame difference,,SubDataSystemTime,PinnedSystemTime,TimeDifference
5847,88.962992,0.022337,227,182.737155,0.022333,,5.562794,5.596314,-0.03352
5848,88.985342,0.02235,228,182.759495,0.02234,,5.585144,5.618654,-0.03351
5849,89.00769,0.022348,229,182.781827,0.022332,,5.607492,5.640986,-0.033494
5850,89.030015,0.022325,230,182.804173,0.022346,,5.629817,5.663332,-0.033515
5851,89.052358,0.022343,231,182.826515,0.022342,,5.65216,5.685674,-0.033514
5852,89.074718,0.02236,232,182.848848,0.022333,,5.67452,5.708007,-0.033487
5853,89.097069,0.022351,233,182.871198,0.02235,,5.696871,5.730357,-0.033486
5854,89.14171,0.044641,234,182.893532,0.022334,,5.741512,5.752691,-0.011179
5855,89.164061,0.022351,235,182.938222,0.04469,,5.763863,5.797381,-0.033518
5856,89.186396,0.022335,236,182.949388,0.011166,,5.786198,5.808547,-0.022349
5857,89.208769,0.022373,237,182.971728,0.02234,,5.808571,5.830887,-0.022316
5858,89.231094,0.022325,238,182.994085,0.022357,,5.830896,5.853244,-0.022348
5859,89.253432,0.022338,239,183.016419,0.022334,,5.853234,5.875578,-0.022344
5860,89.275765,0.022333,240,183.038752,0.022333,,5.875567,5.897911,-0.022344
5861,89.298108,0.022343,241,183.061091,0.022339,,5.89791,5.92025,-0.02234
5862,89.320465,0.022357,242,183.094599,0.033508,,5.920267,5.953758,-0.033491
5863,89.342809,0.022344,243,183.116946,0.022347,,5.942611,5.976105,-0.033494
5864,89.365122,0.022313,244,183.139286,0.02234,,5.964924,5.998445,-0.033521
5865,89.387469,0.022347,245,183.161638,0.022352,,5.987271,6.020797,-0.033526
5866,89.4098,0.022331,246,183.183962,0.022324,,6.009602,6.043121,-0.033519
5867,89.432136,0.022336,247,183.206314,0.022352,,6.031938,6.065473,-0.033535
5868,89.454486,0.02235,248,183.228657,0.022343,,6.054288,6.087816,-0.033528
5869,89.476821,0.022335,249,183.251012,0.022355,,6.076623,6.110171,-0.033548
5870,89.49916,0.022339,250,183.273326,0.022314,,6.098962,6.132485,-0.033523
5871,89.521504,0.022344,251,183.295671,0.022345,,6.121306,6.15483,-0.033524
5872,89.543861,0.022357,252,183.318032,0.022361,,6.143663,6.177191,-0.033528
5873,89.566199,0.022338,253,183.34035,0.022318,,6.166001,6.199509,-0.033508
5874,89.588523,0.022324,254,183.362695,0.022345,,6.188325,6.221854,-0.033529
5875,89.610867,0.022344,255,183.385049,0.022354,,6.210669,6.244208,-0.033539
5876,89.633267,0.0224,256,183.407398,0.022349,,6.233069,6.266557,-0.033488
5877,89.655558,0.022291,257,183.429728,0.02233,,6.25536,6.288887,-0.033527
5878,89.677898,0.02234,258,183.45211,0.022382,,6.2777,6.311269,-0.033569
5879,89.700232,0.022334,259,183.474457,0.022347,,6.300034,6.333616,-0.033582
5880,89.722575,0.022343,260,183.496783,0.022326,,6.322377,6.355942,-0.033565
5881,89.744919,0.022344,261,183.519086,0.022303,,6.344721,6.378245,-0.033524
5882,89.767303,0.022384,262,183.541442,0.022356,,6.367105,6.400601,-0.033496
5883,89.789592,0.022289,263,183.563816,0.022374,,6.389394,6.422975,-0.033581
5884,89.811932,0.02234,264,183.586109,0.022293,,6.411734,6.445268,-0.033534
5885,89.834267,0.022335,265,183.608435,0.022326,,6.434069,6.467594,-0.033525
5886,89.856635,0.022368,266,183.619608,0.011173,,6.456437,6.478767,-0.02233
5887,89.878978,0.022343,267,183.641968,0.02236,,6.47878,6.501127,-0.022347
5888,89.9013,0.022322,268,183.664303,0.022335,,6.501102,6.523462,-0.02236
5889,89.923666,0.022366,269,183.686628,0.022325,,6.523468,6.545787,-0.022319
5890,89.945977,0.022311,270,183.708967,0.022339,,6.545779,6.568126,-0.022347
5891,89.968324,0.022347,271,183.731312,0.022345,,6.568126,6.590471,-0.022345
5892,89.990662,0.022338,272,183.75365,0.022338,,6.590464,6.612809,-0.022345
5893,90.013004,0.022342,273,183.776012,0.022362,,6.612806,6.635171,-0.022365
5894,90.035346,0.022342,274,183.798355,0.022343,,6.635148,6.657514,-0.022366
5895,90.080045,0.044699,275,183.82067,0.022315,,6.679847,6.679829,1.8E-05
5896,90.102368,0.022323,276,183.843038,0.022368,,6.70217,6.702197,-2.7E-05
5897,90.12471,0.022342,277,183.865368,0.02233,,6.724512,6.724527,-1.5E-05
5898,90.147041,0.022331,278,183.898869,0.033501,,6.746843,6.758028,-0.011185
5899,90.169392,0.022351,279,183.910032,0.011163,,6.769194,6.769191,3E-06
5900,90.191728,0.022336,280,183.932374,0.022342,,6.79153,6.791533,-3E-06
5901,90.214062,0.022334,281,183.954706,0.022332,,6.813864,6.813865,-1E-06
5902,90.236402,0.02234,282,183.977119,0.022413,,6.836204,6.836278,-7.4E-05
5903,90.258745,0.022343,283,183.999399,0.02228,,6.858547,6.858558,-1.1E-05
5904,90.281088,0.022343,284,184.021751,0.022352,,6.88089,6.88091,-2E-05
5905,90.30342,0.022332,285,184.044079,0.022328,,6.903222,6.903238,-1.6E-05
5906,90.325787,0.022367,286,184.066419,0.02234,,6.925589,6.925578,1.1E-05
5907,90.348122,0.022335,287,184.088776,0.022357,,6.947924,6.947935,-1.1E-05
5908,90.370457,0.022335,288,184.111114,0.022338,,6.970259,6.970273,-1.4E-05
5909,90.392855,0.022398,289,184.133472,0.022358,,6.992657,6.992631,2.6E-05
5910,90.415131,0.022276,290,184.155778,0.022306,,7.014933,7.014937,-4E-06
5911,90.437492,0.022361,291,184.178168,0.02239,,7.037294,7.037327,-3.3E-05
5912,90.459835,0.022343,292,184.200461,0.022293,,7.059637,7.05962,1.7E-05
5913,90.482171,0.022336,293,184.222827,0.022366,,7.081973,7.081986,-1.3E-05
5914,90.504513,0.022342,294,184.24516,0.022333,,7.104315,7.104319,-4E-06
5915,90.52684,0.022327,295,184.267477,0.022317,,7.126642,7.126636,6E-06
5916,90.54919,0.02235,296,184.289823,0.022346,,7.148992,7.148982,1E-05
5917,90.571519,0.022329,297,184.323333,0.03351,,7.171321,7.182492,-0.011171
5918,90.593857,0.022338,298,184.356867,0.033534,,7.193659,7.216026,-0.022367
5919,90.616195,0.022338,299,184.390383,0.033516,,7.215997,7.249542,-0.033545
5920,90.638542,0.022347,300,184.423885,0.033502,,7.238344,7.283044,-0.0447
5921,90.660916,0.022374,301,184.457403,0.033518,,7.260718,7.316562,-0.055844
5922,90.683222,0.022306,302,184.490912,0.033509,,7.283024,7.350071,-0.067047
5923,90.705558,0.022336,303,184.524463,0.033551,,7.30536,7.383622,-0.078262
5924,90.727903,0.022345,304,184.55791,0.033447,,7.327705,7.417069,-0.089364
5925,90.772574,0.044671,305,184.591424,0.033514,,7.372376,7.450583,-0.078207
5926,90.794969,0.022395,306,184.624957,0.033533,,7.394771,7.484116,-0.089345
5927,90.817257,0.022288,307,184.658446,0.033489,,7.417059,7.517605,-0.100546
5928,90.839605,0.022348,308,184.691953,0.033507,,7.439407,7.551112,-0.111705
5929,90.86194,0.022335,309,184.725506,0.033553,,7.461742,7.584665,-0.122923
5930,90.884283,0.022343,310,184.758978,0.033472,,7.484085,7.618137,-0.134052
5931,90.906622,0.022339,311,184.792529,0.033551,,7.506424,7.651688,-0.145264
5932,90.929013,0.022391,312,184.826013,0.033484,,7.528815,7.685172,-0.156357
5933,90.951301,0.022288,313,184.859514,0.033501,,7.551103,7.718673,-0.16757
5934,90.973661,0.02236,314,184.893041,0.033527,,7.573463,7.7522,-0.178737
5935,91.01833,0.044669,315,184.926534,0.033493,,7.618132,7.785693,-0.167561
5936,91.040665,0.022335,316,184.960056,0.033522,,7.640467,7.819215,-0.178748
5937,91.063012,0.022347,317,184.993593,0.033537,,7.662814,7.852752,-0.189938
5938,91.085346,0.022334,318,185.027134,0.033541,,7.685148,7.886293,-0.201145
5939,91.107679,0.022333,319,185.060574,0.03344,,7.707481,7.919733,-0.212252
5940,91.130044,0.022365,320,185.082917,0.022343,,7.729846,7.942076,-0.21223
5941,91.152372,0.022328,321,185.105252,0.022335,,7.752174,7.964411,-0.212237
5942,91.174736,0.022364,322,185.127591,0.022339,,7.774538,7.98675,-0.212212
5943,91.241764,0.067028,323,185.149951,0.02236,,7.841566,8.00911,-0.167544
5944,91.264088,0.022324,324,185.172274,0.022323,,7.86389,8.031433,-0.167543
5945,91.28643,0.022342,325,185.194615,0.022341,,7.886232,8.053774,-0.167542
5946,91.308754,0.022324,326,185.217016,0.022401,,7.908556,8.076175,-0.167619
5947,91.331095,0.022341,327,185.239297,0.022281,,7.930897,8.098456,-0.167559
