FrameIndex,SystemTimeInSeconds,Frame difference,Frame Number,PinnedMemorySystemTime,PM Frame difference
6027,93.10717,0.022345,407,187.339311,0.022286
6028,93.118338,0.011168,408,187.36165,0.022339
6029,93.129514,0.011176,409,187.384003,0.022353
6030,93.151854,0.02234,410,187.406329,0.022326
6031,93.163021,0.011167,411,187.428667,0.022338
6032,93.174189,0.011168,412,187.451015,0.022348
6033,93.196529,0.02234,413,187.473378,0.022363
6034,93.207761,0.011232,414,187.495715,0.022337
6035,93.219845,0.012084,415,187.518058,0.022343
6036,93.252386,0.032541,416,187.540404,0.022346
6037,93.263553,0.011167,417,187.562743,0.022339
6038,93.274728,0.011175,418,187.58508,0.022337
6039,93.285885,0.011157,419,187.607462,0.022382
6040,93.308232,0.022347,420,187.62976,0.022298
6041,93.319468,0.011236,421,187.652104,0.022344
6042,93.330567,0.011099,422,187.674421,0.022317
6043,93.352909,0.022342,423,187.696762,0.022341
6044,93.364152,0.011243,424,187.719109,0.022347
6045,93.37525,0.011098,425,187.730288,0.011179
6046,93.397598,0.022348,426,187.741478,0.01119
6047,93.408766,0.011168,427,187.752612,0.011134
6048,93.419982,0.011216,428,187.77497,0.022358
6049,93.442296,0.022314,429,187.786143,0.011173
6050,93.453454,0.011158,430,187.79735,0.011207
6051,93.475809,0.022355,431,187.819632,0.022282
6052,93.486957,0.011148,432,187.83082,0.011188
6053,93.498186,0.011229,433,187.85316,0.02234
6054,93.520474,0.022288,434,187.875485,0.022325
6055,93.531653,0.011179,435,187.886661,0.011176
6056,93.554054,0.022401,436,187.897818,0.011157
6057,93.565149,0.011095,437,187.909047,0.011229
6058,93.609832,0.044683,438,187.931328,0.022281
6059,93.632187,0.022355,439,187.942511,0.011183
6060,93.654535,0.022348,440,187.964872,0.022361
6061,93.676896,0.022361,441,187.976013,0.011141
6062,93.699201,0.022305,442,187.998365,0.022352
6063,93.721533,0.022332,443,188.009531,0.011166
6064,93.743883,0.02235,444,188.0207,0.011169
6065,93.766216,0.022333,445,188.04304,0.02234
6066,93.788553,0.022337,446,188.054207,0.011167
6067,93.810899,0.022346,447,188.076574,0.022367
6068,93.833239,0.02234,448,188.087744,0.01117
6069,93.855601,0.022362,449,188.098884,0.01114
6070,93.877918,0.022317,450,188.121233,0.022349
6071,93.900268,0.02235,451,188.132414,0.011181
6072,93.922598,0.02233,452,188.154764,0.02235
6073,93.944941,0.022343,453,188.177084,0.02232
6074,93.967274,0.022333,454,188.199421,0.022337
6075,93.989617,0.022343,455,188.221786,0.022365
6076,94.011963,0.022346,456,188.244121,0.022335
6077,94.034304,0.022341,457,188.266452,0.022331
6078,94.056645,0.022341,458,188.288841,0.022389
6079,94.07898,0.022335,459,188.311126,0.022285
6080,94.101326,0.022346,460,188.33351,0.022384
6081,94.112494,0.011168,461,188.355821,0.022311
6082,94.12366,0.011166,462,188.378151,0.02233
6083,94.145999,0.022339,463,188.400521,0.02237
6084,94.157183,0.011184,464,188.422853,0.022332
6085,94.168343,0.01116,465,188.445174,0.022321
6086,94.179519,0.011176,466,188.467509,0.022335
6087,94.19068,0.011161,467,188.489869,0.02236
6088,94.201858,0.011178,468,188.51225,0.022381
6089,94.21303,0.011172,469,188.53456,0.02231
6090,94.235371,0.022341,470,188.55689,0.02233
6091,94.246538,0.011167,471,188.579273,0.022383
6092,94.257744,0.011206,472,188.601601,0.022328
6093,94.268881,0.011137,473,188.623894,0.022293
6094,94.280044,0.011163,474,188.64625,0.022356
6095,94.302386,0.022342,475,188.668612,0.022362
6096,94.313559,0.011173,476,188.690974,0.022362
6097,94.324723,0.011164,477,188.702084,0.01111
6098,94.335897,0.011174,478,188.724432,0.022348
6099,94.347076,0.011179,479,188.735597,0.011165
6100,94.358237,0.011161,480,188.746765,0.011168
6101,94.380601,0.022364,481,188.75793,0.011165
6102,94.391764,0.011163,482,188.769108,0.011178
6103,94.402949,0.011185,483,188.780295,0.011187
6104,94.414142,0.011193,484,188.791441,0.011146
6105,94.425264,0.011122,485,188.813832,0.022391
6106,94.458794,0.03353,486,188.824965,0.011133
6107,94.469938,0.011144,487,188.836123,0.011158
6108,94.481133,0.011195,488,188.847303,0.01118
6109,94.492291,0.011158,489,188.858475,0.011172
6110,94.503452,0.011161,490,188.880836,0.022361
6111,94.514626,0.011174,491,188.891985,0.011149
6112,94.525796,0.01117,492,188.903148,0.011163
6113,94.548156,0.02236,493,188.914314,0.011166
6114,94.5593,0.011144,494,188.925491,0.011177
6115,94.570477,0.011177,495,188.936658,0.011167
6116,94.581703,0.011226,496,188.959009,0.022351
6117,94.592826,0.011123,497,188.970165,0.011156
6118,94.603986,0.01116,498,188.981353,0.011188
6119,94.626377,0.022391,499,188.992527,0.011174
6120,94.637507,0.01113,500,189.014892,0.022365
6121,94.648665,0.011158,501,189.026025,0.011133
6122,94.65986,0.011195,502,189.037188,0.011163
6123,94.68219,0.02233,503,189.048357,0.011169
6124,94.704516,0.022326,504,189.059538,0.011181
6125,94.726874,0.022358,505,189.070703,0.011165
6126,94.749224,0.02235,506,189.093044,0.022341
6127,94.771546,0.022322,507,189.104209,0.011165
6128,94.793913,0.022367,508,189.115395,0.011186
6129,94.816228,0.022315,509,189.126556,0.011161
6130,94.838564,0.022336,510,189.14889,0.022334
6131,94.860913,0.022349,511,189.160125,0.011235
6132,94.883245,0.022332,512,189.171239,0.011114
6133,94.905608,0.022363,513,189.193587,0.022348
6134,94.927928,0.02232,514,189.204747,0.01116
6135,94.950288,0.02236,515,189.215982,0.011235
6136,94.972615,0.022327,516,189.238264,0.022282
6137,94.994971,0.022356,517,189.260599,0.022335
6138,95.017283,0.022312,518,189.282935,0.022336
6139,95.039625,0.022342,519,189.305281,0.022346
6140,95.061964,0.022339,520,189.327621,0.02234
6141,95.084302,0.022338,521,189.349958,0.022337
